Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
Atlantic Av-Barclays Ctr,4th Av,B,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,YES,YES,40.683905,-73.978879
Atlantic Av-Barclays Ctr,4th Av,B,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,YES,YES,40.683805,-73.978487
Atlantic Av-Barclays Ctr,4th Av,B,617,Atlantic Av-Barclays Ctr,27,R31,2 3 4 5 B D N Q R,YES,YES,40.683928,-73.978412
Union St,4th Av,B,28,Union St,28,R32,R,YES,YES,40.6771544,-73.9834296
Union St,4th Av,B,28,Union St,28,R32,R,YES,YES,40.6772958,-73.9833364
Union St,4th Av,B,28,Union St,28,R32,R,YES,YES,40.677001,-73.983133
Union St,4th Av,B,28,Union St,28,R32,R,YES,YES,40.677171,-73.98302
4 Av-9 St,4th Av,B,608,4 Av-9 St,29,R33,F G R,YES,YES,40.670538,-73.988778
4 Av-9 St,4th Av,B,608,4 Av-9 St,29,R33,F G R,YES,YES,40.6704052,-73.9884866
Prospect Av,4th Av,B,30,Prospect Av,30,R34,R,YES,YES,40.6652787,-73.9932544
Prospect Av,4th Av,B,30,Prospect Av,30,R34,R,YES,YES,40.6650684,-73.9930473
Prospect Av,4th Av,B,30,Prospect Av,30,R34,R,YES,YES,40.665299,-73.992729
25 St,4th Av,B,31,25 St,31,R35,R,YES,YES,40.6605007,-73.998224
25 St,4th Av,B,31,25 St,31,R35,R,YES,YES,40.660323,-73.997952
36 St,4th Av,B,32,36 St,32,R36,D N R,YES,YES,40.65449,-74.004499
36 St,4th Av,B,32,36 St,32,R36,D N R,YES,YES,40.6546909,-74.0043071
36 St,4th Av,B,32,36 St,32,R36,D N R,YES,YES,40.654365,-74.004113
45 St,4th Av,B,33,45 St,33,R39,R,YES,YES,40.6494326,-74.0097327
45 St,4th Av,B,33,45 St,33,R39,R,YES,YES,40.6495617,-74.0096026
45 St,4th Av,B,33,45 St,33,R39,R,YES,YES,40.6492747,-74.009461
45 St,4th Av,B,33,45 St,33,R39,R,YES,YES,40.6494028,-74.0093232
53 St,4th Av,B,34,53 St,34,R40,R,YES,YES,40.6446672,-74.014688
53 St,4th Av,B,34,53 St,34,R40,R,YES,YES,40.6447641,-74.0145927
53 St,4th Av,B,34,53 St,34,R40,R,YES,YES,40.6445032,-74.0144244
53 St,4th Av,B,34,53 St,34,R40,R,YES,YES,40.644601,-74.014309
53 St,4th Av,B,34,53 St,34,R40,R,YES,YES,40.6456266,-74.01369
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.6406896,-74.0188637
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.640491,-74.0185665
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.6416248,-74.0178508
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.6417413,-74.0177502
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.6414668,-74.0175533
59 St,4th Av,B,35,59 St,35,R41,N R,YES,YES,40.6415691,-74.017435
