Source,Target,Type,Id,Label,Weight
106,107,Undirected,0,RED-1,1
107,108,Undirected,1,RED-2,1
108,109,Undirected,2,RED-3,1
109,110,Undirected,3,RED-4,1
110,111,Undirected,4,RED-5,1
111,112,Undirected,5,RED-6,1
112,113,Undirected,6,RED-7,1
113,114,Undirected,7,RED-8,1
503,502,Undirected,294,GRN-23,1
427,496,Undirected,283,ORG-20,1
116,117,Undirected,10,RED-11,1
117,118,Undirected,11,RED-12,1
118,119,Undirected,12,RED-13,1
119,120,Undirected,13,RED-14,1
120,121,Undirected,14,RED-15,1
121,122,Undirected,15,RED-16,1
122,123,Undirected,16,RED-17,1
123,124,Undirected,17,RED-18,1
124,125,Undirected,18,RED-19,1
125,126,Undirected,19,RED-20,1
126,127,Undirected,20,RED-21,1
506,422,Undirected,301,ORG-14,1
207,206,Undirected,328,ORG-40,1
502,500,Undirected,290,GRN-24,1
62,504,Undirected,297,BLU-17,1
131,132,Undirected,25,RED-26,1
132,133,Undirected,26,RED-27,1
133,134,Undirected,27,RED-28,1
355,521,Undirected,336,GRN-28,1
17,499,Undirected,337,ORG-23.1,1
136,137,Undirected,30,RED-31,1
137,138,Undirected,31,RED-32,1
138,139,Undirected,32,RED-33,1
139,140,Undirected,33,RED-34,1
140,141,Undirected,34,RED-35,1
141,142,Undirected,35,RED-36,1
53,90,Undirected,319,BLU-8,1
46,47,Undirected,37,BLU-1,2
47,48,Undirected,38,BLU-2,1
48,49,Undirected,39,BLU-3,1
49,50,Undirected,40,BLU-4,1
501,131,Undirected,288,RED-25,1
129,501,Undirected,289,RED-24,1
52,53,Undirected,43,BLU-7,1
90,54,Undirected,320,BLU-8.1,1
54,55,Undirected,45,BLU-9,1
55,56,Undirected,46,BLU-10,1
56,57,Undirected,47,BLU-11,1
57,58,Undirected,48,BLU-12,1
58,59,Undirected,49,BLU-13,1
59,60,Undirected,50,BLU-14,1
60,61,Undirected,51,BLU-15,1
61,62,Undirected,52,BLU-16,1
206,205,Undirected,330,ORG-41,1
205,204,Undirected,331,ORG-42,1
502,430,Undirected,292,ORG-22,1
496,502,Undirected,293,ORG-21,1
66,67,Undirected,57,BLU-21,1
509,361,Undirected,307,GRN-33,1
359,509,Undirected,308,GRN-32,1
69,70,Undirected,60,BLU-24,1
229,230,Undirected,217,GRN-39,1
67,508,Undirected,306,BLU-22,1
200,229,Undirected,216,GRN-38,1
73,74,Undirected,64,BLU-28,1
74,75,Undirected,65,BLU-29,1
75,76,Undirected,66,BLU-30,1
76,77,Undirected,67,BLU-31,1
513,198,Undirected,314,RED-35.3,1
196,513,Undirected,315,RED-35.2,1
79,80,Undirected,70,BLU-34,1
80,81,Undirected,71,BLU-35,1
81,82,Undirected,72,BLU-36,1
82,83,Undirected,73,BLU-37,1
83,84,Undirected,74,BLU-38,1
84,85,Undirected,75,BLU-39,1
85,86,Undirected,76,BLU-40,1
86,87,Undirected,77,BLU-41,1
87,88,Undirected,78,BLU-42,1
435,440,Undirected,112,BLU-47.4.1.1,1
438,439,Undirected,111,BLU-47.4.2.4,1
437,438,Undirected,110,BLU-47.4.2.3,1
436,437,Undirected,109,BLU-47.4.2.2,1
435,436,Undirected,108,BLU-47.4.2.1,1
433,434,Undirected,106,BLU-47.4,1
434,435,Undirected,107,BLU-47.5,1
432,370,Directed,103,BLU-47.2,1
370,433,Directed,102,BLU-47.1,1
88,367,Undirected,101,BLU-43,1
372,373,Undirected,100,BLU-49,1
371,372,Undirected,99,BLU-48,1
370,371,Undirected,98,BLU-47,1
369,370,Undirected,97,BLU-46,1
368,369,Undirected,96,BLU-45,1
367,368,Undirected,95,BLU-44,1
440,441,Undirected,113,BLU-47.4.1.2,1
441,442,Undirected,114,BLU-47.4.1.3,1
442,443,Undirected,115,BLU-47.4.1.4,1
443,444,Undirected,116,BLU-47.4.1.5,1
444,445,Undirected,117,BLU-47.4.1.6,1
433,432,Directed,118,BLU-47.3,1
317,318,Undirected,119,RED-17.1,1
318,319,Undirected,120,RED-17.2,1
319,320,Undirected,121,RED-17.3,1
320,321,Undirected,122,RED-17.4,1
321,322,Undirected,123,RED-17.5,1
322,323,Undirected,124,RED-17.6,1
323,324,Undirected,125,RED-17.7,1
324,325,Undirected,126,RED-17.8,1
325,326,Undirected,127,RED-17.9,1
326,327,Undirected,128,RED-17.10,1
327,328,Undirected,129,RED-17.11,1
328,329,Undirected,130,RED-17.12,1
330,331,Undirected,131,RED-17.13,1
331,332,Undirected,132,RED-17.14,1
332,333,Undirected,133,RED-17.15,1
333,334,Undirected,134,RED-17.16,1
334,335,Undirected,135,RED-17.17,1
336,337,Undirected,136,RED-17.18,1
337,338,Undirected,137,RED-17.19.1,1
335,338,Undirected,138,RED-17.19.2,1
338,339,Undirected,139,RED-17.20,1
339,340,Undirected,140,RED-17.21,1
340,341,Undirected,141,RED-17.22,1
341,123,Undirected,145,RED-17.23,1
329,330,Undirected,146,RED-17.12.1,1
140,196,Undirected,148,RED-35.1,1
90,211,Undirected,323,ORG-36,1
90,206,Undirected,324,ORG-36.1,1
198,199,Undirected,151,RED-35.4,1
199,200,Undirected,152,RED-35.5,1
229,230,Undirected,153,RED-35.7,1
89,358,Undirected,344,ORG-24.6,1
234,511,Undirected,311,GRN-44,1
232,233,Undirected,156,RED-35.10,1
233,234,Undirected,157,RED-35.11,1
512,79,Undirected,312,BLU-33,1
513,363,Undirected,316,GRN-35,1
236,237,Undirected,160,RED-35.14,1
237,238,Undirected,161,RED-35.15,1
238,239,Undirected,162,RED-35.16,1
239,240,Undirected,163,RED-35.17,1
240,241,Undirected,164,RED-35.18,1
241,242,Undirected,165,RED-35.19,1
242,243,Undirected,166,RED-35.20,1
243,244,Undirected,167,RED-35.21,1
244,245,Undirected,168,RED-35.22,1
200,229,Undirected,169,RED-35.6,1
361,513,Undirected,317,GRN-34,1
380,381,Undirected,171,RED-35.13.2,1
381,382,Undirected,172,RED-35.13.3,1
382,383,Undirected,173,RED-35.13.4,1
383,384,Undirected,174,RED-35.13.5,1
384,385,Undirected,175,RED-35.13.6,1
385,386,Undirected,176,RED-35.13.7,1
303,304,Undirected,177,GRN-1,1
304,305,Undirected,178,GRN-2,1
305,306,Undirected,179,GRN-3,1
306,307,Undirected,180,GRN-4,1
307,308,Undirected,181,GRN-5,1
308,309,Undirected,182,GRN-6,1
309,310,Undirected,183,GRN-7,1
310,311,Undirected,184,GRN-8,1
311,312,Undirected,185,GRN-9,1
312,313,Undirected,186,GRN-10,1
495,52,Undirected,278,BLU-6,1
50,495,Undirected,279,BLU-5,1
315,316,Undirected,189,GRN-13,1
316,342,Undirected,190,GRN-14,1
342,343,Undirected,191,GRN-15,1
343,344,Undirected,192,GRN-16,1
344,345,Undirected,193,GRN-17,1
345,346,Undirected,194,GRN-18,1
346,347,Undirected,195,GRN-19,1
347,348,Undirected,196,GRN-20,1
348,349,Undirected,197,GRN-21,1
504,64,Undirected,296,BLU-18,1
504,129,Undirected,298,RED-23,1
501,66,Undirected,286,BLU-20,1
64,501,Undirected,287,BLU-19,1
353,354,Undirected,202,GRN-26,1
354,355,Undirected,203,GRN-27,1
494,315,Undirected,276,GRN-12,1
313,494,Undirected,277,GRN-11,1
357,358,Undirected,206,GRN-30,1
358,359,Undirected,207,GRN-31,1
511,380,Undirected,309,GRN-45.1,1
511,236,Undirected,310,GRN-45,1
142,515,Undirected,318,RED-37,1
54,90,Undirected,321,ORG-35,1
363,364,Undirected,212,GRN-36,1
364,200,Undirected,213,GRN-37,1
208,207,Undirected,327,ORG-39,1
232,233,Undirected,220,GRN-42,1
233,234,Undirected,221,GRN-43,1
77,512,Undirected,313,BLU-32,1
209,211,Undirected,325,ORG-37,1
236,237,Undirected,224,GRN-46,1
237,238,Undirected,225,GRN-47,1
209,208,Undirected,326,ORG-38,1
380,381,Undirected,227,GRN-45.2,1
381,382,Undirected,228,GRN-45.3,1
382,383,Undirected,229,GRN-45.4,1
383,384,Undirected,230,GRN-45.5,1
384,385,Undirected,231,GRN-45.6,1
385,386,Undirected,232,GRN-45.7,1
408,409,Undirected,233,ORG-1,1
409,410,Undirected,234,ORG-2,1
410,411,Undirected,235,ORG-3,1
411,412,Undirected,236,ORG-4,1
412,413,Undirected,237,ORG-5,1
413,414,Undirected,238,ORG-6,1
414,415,Undirected,239,ORG-7,1
415,416,Undirected,240,ORG-8,1
416,417,Undirected,241,ORG-9,1
417,418,Undirected,242,ORG-10,1
418,419,Undirected,243,ORG-11,1
419,420,Undirected,244,ORG-12,1
507,232,Undirected,303,GRN-41,1
230,507,Undirected,304,GRN-40,1
422,423,Undirected,247,ORG-15,1
423,424,Undirected,248,ORG-16,1
424,425,Undirected,249,ORG-17,1
425,426,Undirected,250,ORG-18,1
426,427,Undirected,251,ORG-19,1
