Id,Label,stop name,line,borough,complex id,constituent station name,station id,gtfs stop id,daytime routes,entrance latitude,entrance longitude,Degree,Weighted Degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
1,Union St,Union St,4th Av,B,28,Union St,28,R32,R,40.677154,-73.98343,4,4,0,39,0.065119,0.103608,14355.430914,0.323365,0.349685,14,5,0,0,0.621232
3,Prospect Av,Prospect Av,4th Av,B,30,Prospect Av,30,R34,R,40.665279,-73.993254,4,4,1,41,0.060018,0.091984,10558.424477,0.324863,0.351525,14,5,0,0,0.575753
4,25 St,25 St,4th Av,B,31,25 St,31,R35,R,40.660501,-73.998224,4,4,2,42,0.057134,0.086158,10230.424477,0.193859,0.17913,14,5,0,0,0.348316
5,36 St,36 St,4th Av,B,32,36 St,32,R36,D N R,40.65449,-74.004499,4,4,3,43,0.054515,0.083467,9920.424477,0.086612,0.093745,14,5,0,0,0.202001
6,45 St,45 St,4th Av,B,33,45 St,33,R39,R,40.649433,-74.009733,2,2,4,44,0.051938,0.077246,2875.937984,0.021481,0.019845,8,5,0,0,0.068354
7,53 St,53 St,4th Av,B,34,53 St,34,R40,R,40.644667,-74.014688,2,2,5,45,0.049713,0.07406,2538.953488,0.004559,0.004936,8,5,0,0,0.041261
8,59 St,59 St,4th Av,B,35,59 St,35,R41,N R,40.64069,-74.018864,3,3,6,46,0.047683,0.073271,2300,0.001194,0.001103,8,5,0,0,0.046495
9,Bay Ridge Av,Bay Ridge Av,4th Av,B,36,Bay Ridge Av,36,R42,R,40.634827,-74.02358,2,2,7,47,0.04555,0.066918,1161,0.000253,0.000274,8,5,0,0,0.032384
10,77 St,77 St,4th Av,B,37,77 St,37,R43,R,40.629518,-74.025749,2,2,8,48,0.04359,0.062182,776,0.000063,0.000058,8,5,0,0,0.025545
11,86 St,86 St,4th Av,B,38,86 St,38,R44,R,40.622653,-74.028556,2,2,9,49,0.041783,0.057841,389,0.000013,0.000014,8,5,0,0,0.019651
12,Bay Ridge-95 St,Bay Ridge-95 St,4th Av,B,39,Bay Ridge-95 St,39,R45,R,40.616021,-74.031383,1,1,10,50,0.040111,0.052731,0,0.000003,0.000003,8,5,0,0,0.010917
15,Lexington Av/63 St,Lexington Av/63 St,63rd St,M,223,Lexington Av/63 St,223,B08,F Q,40.764968,-73.966679,2,2,13,35,0.06441,0.090302,1161,0.000001,0.000001,44,5,0,0,0.034535
17,47-50 Sts-Rockefeller Ctr,47-50 Sts-Rockefeller Ctr,6th Av - Culver,M,225,47-50 Sts-Rockefeller Ctr,225,D15,B D F M,40.758025,-73.98211,3,3,15,34,0.072102,0.110697,4545.23854,0.000004,0.000004,9,5,0,0,0.1008
20,23 St,23 St,6th Av - Culver,M,228,23 St,228,D18,F M,40.742988,-73.993233,2,2,15,33,0.074371,0.115332,7770.728788,0.000168,0.000167,9,5,0,0,0.110686
23,Grand St,Grand St,6th Av - Culver,M,231,Grand St,231,D22,B D,40.718369,-73.993882,2,2,15,36,0.07245,0.117063,19971.305961,0.013916,0.013084,11,5,0,0,0.147777
24,2 Av,2 Av,6th Av - Culver,M,232,2 Av,232,F14,F,40.723682,-73.991668,2,2,15,36,0.070601,0.10803,0,0.00163,0.001596,11,5,1,1,0.111886
26,East Broadway,East Broadway,6th Av - Culver,M,234,East Broadway,234,F16,F,40.714237,-73.990354,2,2,15,37,0.067697,0.101574,2973.838689,0.002016,0.001953,14,5,0,0,0.063906
27,York St,York St,6th Av - Culver,B,235,York St,235,F18,F,40.70138,-73.986655,2,2,15,38,0.065239,0.096367,2756.838689,0.00691,0.007219,14,5,0,0,0.063212
